
Data_X,Data_Y,Label_X,Label_Y
6.759435415267944,8.104598879814148,[6.75943542],[8.10459888]
3.601136803627014,1.928882122039795,[3.6011368],[1.92888212]
3.59649658203125,1.9248666763305664,[3.59649658],[1.92486668]
3.5858335494995117,1.917402446269989,[3.58583355],[1.91740245]
3.5728507041931152,1.9094003438949585,[3.5728507],[1.90940034]
3.559653878211975,1.9013907313346863,[3.55965388],[1.90139073]
3.546556830406189,1.8935025334358215,[3.54655683],[1.89350253]
3.5332887172698975,1.885493516921997,[3.53328872],[1.88549352]
3.520024299621582,1.877554476261139,[3.5200243],[1.87755448]
3.506736993789673,1.8697224855422974,[3.50673699],[1.86972249]
3.4932769536972046,1.861886441707611,[3.49327695],[1.86188644]
3.4798717498779297,1.8539842367172241,[3.47987175],[1.85398424]
3.466479778289795,1.846129059791565,[3.46647978],[1.84612906]
3.453051209449768,1.838280439376831,[3.45305121],[1.83828044]
3.4397149085998535,1.8305622339248657,[3.43971491],[1.83056223]
3.4262313842773438,1.8227310180664062,[3.42623138],[1.82273102]
3.412807583808899,1.8149949312210083,[3.41280758],[1.81499493]
3.3993260860443115,1.8073061108589172,[3.39932609],[1.80730611]
3.3858838081359863,1.7996131777763367,[3.38588381],[1.79961318]
3.37248957157135,1.791969656944275,[3.37248957],[1.79196966]
3.3591203689575195,1.7843492031097412,[3.35912037],[1.7843492]
3.345844864845276,1.7767884731292725,[3.34584486],[1.77678847]
3.3324791193008423,1.7692173719406128,[3.33247912],[1.76921737]
3.3192083835601807,1.7617213726043701,[3.31920838],[1.76172137]
3.305953025817871,1.75423002243042,[3.30595303],[1.75423002]
3.2927405834198,1.7467909455299377,[3.29274058],[1.74679095]
3.2795591354370117,1.739481806755066,[3.27955914],[1.73948181]
3.2663856744766235,1.7320882678031921,[3.26638567],[1.73208827]
3.2532655000686646,1.7247477769851685,[3.2532655],[1.72474778]
3.2402111291885376,1.7174572944641113,[3.24021113],[1.71745729]
3.2271931171417236,1.710204839706421,[3.22719312],[1.71020484]
3.214261293411255,1.703039526939392,[3.21426129],[1.70303953]
3.2012864351272583,1.6958317756652832,[3.20128644],[1.69583178]
3.1883792877197266,1.6886723637580872,[3.18837929],[1.68867236]
3.1755168437957764,1.6815536618232727,[3.17551684],[1.68155366]
3.1627408266067505,1.6745664477348328,[3.16274083],[1.67456645]
3.1499475240707397,1.6674465537071228,[3.14994752],[1.66744655]
3.1371970176696777,1.6604053974151611,[3.13719702],[1.6604054]
3.124508857727051,1.6534196734428406,[3.12450886],[1.65341967]
3.11187744140625,1.6464792490005493,[3.11187744],[1.64647925]
3.099326729774475,1.6395222544670105,[3.09932673],[1.63952225]
3.086836814880371,1.6326689720153809,[3.08683681],[1.63266897]
3.0742422342300415,1.6257963180541992,[3.07424223],[1.62579632]
3.0617634057998657,1.6189720034599304,[3.06176341],[1.618972]
3.049229860305786,1.612183928489685,[3.04922986],[1.61218393]
3.036829113960266,1.6054242849349976,[3.03682911],[1.60542428]
3.0245485305786133,1.5987296104431152,[3.02454853],[1.59872961]
3.012243866920471,1.5920259356498718,[3.01224387],[1.59202594]
3.0000572204589844,1.5854352116584778,[3.00005722],[1.58543521]
2.987789511680603,1.5787847638130188,[2.98778951],[1.57878476]
2.9756323099136353,1.5721943974494934,[2.97563231],[1.5721944]
2.963518738746643,1.565638780593872,[2.96351874],[1.56563878]
2.951452851295471,1.5591187477111816,[2.95145285],[1.55911875]
2.9395201206207275,1.5526140332221985,[2.93952012],[1.55261403]
2.927594542503357,1.5461759567260742,[2.92759454],[1.54617596]
2.9156136512756348,1.539721429347992,[2.91561365],[1.53972143]
2.903759002685547,1.5333157181739807,[2.903759],[1.53331572]
2.8920230865478516,1.5269665122032166,[2.89202309],[1.52696651]
2.8801803588867188,1.5205647945404053,[2.88018036],[1.52056479]
2.8684277534484863,1.5143209099769592,[2.86842775],[1.51432091]
