
Data_X,Data_Y,Angle,Label_X,Label_Y
-3.1760504245758057,-1.5289760529994965,-2.4703362609356834,-3.1760504245758057,-1.5289760529994965
-3.1711984872817993,-1.5252212285995483,-2.470322944259176,-3.1711984872817993,-1.5252212285995483
-3.161692500114441,-1.5177155137062073,-2.471368242784015,-3.161692500114441,-1.5177155137062073
-3.1507883071899414,-1.5090948641300201,-2.4790944363443588,-3.1507883071899414,-1.5090948641300201
-3.1398518085479736,-1.5005423426628113,-2.486782677639447,-3.1398518085479736,-1.5005423426628113
-3.128884792327881,-1.4920827150344849,-2.4945232931533896,-3.128884792327881,-1.4920827150344849
-3.11791455745697,-1.483763188123703,-2.502309360562158,-3.11791455745697,-1.483763188123703
-3.1068531274795532,-1.4754582941532135,-2.510008702753171,-3.1068531274795532,-1.4754582941532135
-3.0957705974578857,-1.4672735333442688,-2.5175019672807357,-3.0957705974578857,-1.4672735333442688
-3.084654927253723,-1.4591560065746307,-2.5249791229857537,-3.084654927253723,-1.4591560065746307
-3.07361376285553,-1.4511977136135101,-2.5322280473810834,-3.07361376285553,-1.4511977136135101
-3.0623891353607178,-1.4432478547096252,-2.539461510190208,-3.0623891353607178,-1.4432478547096252
-3.051210045814514,-1.4354259073734283,-2.5463890281408146,-3.051210045814514,-1.4354259073734283
-3.0400004386901855,-1.4277035593986511,-2.5531712305772176,-3.0400004386901855,-1.4277035593986511
-3.028771996498108,-1.4200607538223267,-2.559635991354479,-3.028771996498108,-1.4200607538223267
-3.0175763368606567,-1.4125476777553558,-2.5660289165364394,-3.0175763368606567,-1.4125476777553558
-3.006294012069702,-1.4050872325897217,-2.5719326190530754,-3.006294012069702,-1.4050872325897217
-2.995020627975464,-1.3977310955524445,-2.577661970876298,-2.995020627975464,-1.3977310955524445
-2.983752727508545,-1.3904663920402527,-2.5831302126606466,-2.983752727508545,-1.3904663920402527
-2.9724459648132324,-1.383363962173462,-2.5884127956510614,-2.9724459648132324,-1.383363962173462
-2.9612228870391846,-1.3763437569141388,-2.5929305736829216,-2.9612228870391846,-1.3763437569141388
-2.9498801231384277,-1.3692825138568878,-2.5976698867940593,-2.9498801231384277,-1.3692825138568878
-2.9386191368103027,-1.3623449206352234,-2.602264267134959,-2.9386191368103027,-1.3623449206352234
-2.9274697303771973,-1.3555038273334503,-2.6065811091854774,-2.9274697303771973,-1.3555038273334503
-2.916226029396057,-1.348704755306244,-2.6108069036258894,-2.916226029396057,-1.348704755306244
-2.905009150505066,-1.3419737815856934,-2.614889711550309,-2.905009150505066,-1.3419737815856934
-2.893855571746826,-1.3353320956230164,-2.6192067441903615,-2.893855571746826,-1.3353320956230164
-2.88265860080719,-1.3287408649921417,-2.6230870528256487,-2.88265860080719,-1.3287408649921417
-2.8714256286621094,-1.322207361459732,-2.626776466692767,-2.8714256286621094,-1.322207361459732
-2.8602757453918457,-1.3157654702663422,-2.6303195603182377,-2.8602757453918457,-1.3157654702663422
-2.8491456508636475,-1.3093857169151306,-2.633696231504842,-2.8491456508636475,-1.3093857169151306
-2.8381048440933228,-1.303089201450348,-2.636901022883069,-2.8381048440933228,-1.303089201450348
-2.827002763748169,-1.2968348860740662,-2.639932911356931,-2.827002763748169,-1.2968348860740662
-2.815855383872986,-1.290702760219574,-2.64271584286248,-2.815855383872986,-1.290702760219574
-2.804769515991211,-1.2845341861248016,-2.645567092162354,-2.804769515991211,-1.2845341861248016
-2.7937374114990234,-1.2784445583820343,-2.6481886047437118,-2.7937374114990234,-1.2784445583820343
-2.782766819000244,-1.2724569141864777,-2.6507510637051217,-2.782766819000244,-1.2724569141864777
-2.771772623062134,-1.2664640843868256,-2.6532072023007043,-2.771772623062134,-1.2664640843868256
-2.760836601257324,-1.2605304270982742,-2.6555397625940835,-2.760836601257324,-1.2605304270982742
-2.749917984008789,-1.2546494454145432,-2.6578078670899847,-2.749917984008789,-1.2546494454145432
-2.7389838695526123,-1.248801276087761,-2.65996711058738,-2.7389838695526123,-1.248801276087761
-2.728097915649414,-1.2429934740066528,-2.662051194719242,-2.728097915649414,-1.2429934740066528
-2.7172681093215942,-1.2372492104768753,-2.6640541694037867,-2.7172681093215942,-1.2372492104768753
-2.706473469734192,-1.231550544500351,-2.665943703941726,-2.706473469734192,-1.231550544500351
-2.695711135864258,-1.2258935272693634,-2.6678033976319306,-2.695711135864258,-1.2258935272693634
-2.6850333213806152,-1.2202853709459305,-2.669349162306141,-2.6850333213806152,-1.2202853709459305
-2.674294114112854,-1.2146991044282913,-2.6710157826269754,-2.674294114112854,-1.2146991044282913
