M_x,M_y,Phi_x,Phi_y,U_x,U_y
-1.69139295816422,-1.88448643684387,7.8415265083313,6.82603150606155,-2.30683124065399,-4.48088711500168
-1.69138902425766,-1.88448578119278,7.84152334928513,6.82604759931564,-2.30681079626083,-4.48086708784103
-1.68979263305664,-1.88465785980225,7.83992942608893,6.82621240615845,-2.29882637225091,-4.48173475265503
-1.69172871112824,-1.88170373439789,7.84616970736533,6.81014710664749,-2.30420255940408,-4.48007529973984
-1.6956934928894,-1.87122577428818,7.873733994551,6.77399498224258,-2.30042696278542,-4.45335966348648
-1.69274020195007,-1.85855489969254,7.87967929278966,6.7429775595665,-2.27676191891078,-4.40835183858871
-1.69809949398041,-1.859035551548,7.90275030117482,6.73591977357864,-2.28584666270763,-4.41829353570938
-1.70167368650436,-1.84881687164307,7.94016626756638,6.70099037885666,-2.2698758514598,-4.39191085100174
-1.69978076219559,-1.83921581506729,7.94194092601538,6.67838048934937,-2.25674364715815,-4.35691440105438
-1.70565778017044,-1.83679968118668,7.97777929902077,6.65717613697052,-2.25616738200188,-4.36362195014954
-1.7096471786499,-1.82251530885696,8.01813271641731,6.6186341047287,-2.2397503554821,-4.31645774841309
-1.70803534984589,-1.81303143501282,8.00963763147593,6.61333352327347,-2.23857446759939,-4.26485508680344
-1.71343570947647,-1.80580466985703,8.04459193861112,6.57073450088501,-2.23602231824771,-4.26409351825714
-1.71648442745209,-1.78707659244537,8.07091399049386,6.52224379777908,-2.22799257421866,-4.20021575689316
-1.71518522500992,-1.77780145406723,8.05911645491142,6.52331280708313,-2.23199489514809,-4.14349591732025
-1.7185143828392,-1.76643228530884,8.0831633079797,6.45949274301529,-2.22792298905551,-4.13910096883774
-1.7192764878273,-1.74421298503876,8.09559576399624,6.39093464612961,-2.22006316296756,-4.07434326410294
-1.71832168102264,-1.73514598608017,8.08333813585341,6.39236104488373,-2.22659195028245,-4.01851487159729
-1.71848160028458,-1.72077995538712,8.09112922474742,6.3124041557312,-2.21976037696004,-4.01227557659149
-1.7160667181015,-1.69649630784988,8.08504063263536,6.23071736097336,-2.21135967597365,-3.94826048612595
-1.71546387672424,-1.68769884109497,8.07222758606076,6.23208791017532,-2.2205556742847,-3.8941051363945
-1.71206426620483,-1.67166352272034,8.06167138367891,6.1430624127388,-2.21071421355009,-3.88691872358322
-1.70669049024582,-1.64669305086136,8.03798587620258,6.05518782138824,-2.20215706527233,-3.82497048377991
-1.70644676685333,-1.63821572065353,8.02507307007909,6.05664050579071,-2.21360753104091,-3.77265381813049
-1.6999962925911,-1.62174767255783,7.99874321371317,5.96479696035385,-2.2012345418334,-3.76568907499313
-1.69222748279572,-1.59714561700821,7.96032622456551,5.87626373767853,-2.19303867220879,-3.70660996437073
-1.69238501787186,-1.58906650543213,7.94730605185032,5.87783408164978,-2.20700405538082,-3.65656495094299
-1.6835178732872,-1.57290124893188,7.90827485173941,5.78724366426468,-2.1928323879838,-3.65016382932663
-1.67406219244003,-1.54916703701019,7.85918065905571,5.70046383142471,-2.18519249558449,-3.59453839063644
-1.67456513643265,-1.54138606786728,7.84616562724113,5.70206996798515,-2.20122519135475,-3.54624643921852
-1.6639598608017,-1.52597314119339,7.79778687655926,5.61495736241341,-2.18597228825092,-3.54088148474693
-1.65338534116745,-1.50350320339203,7.74078427813947,5.53219935297966,-2.17952776886523,-3.48881986737251
-1.65426510572433,-1.49612003564835,7.72817978821695,5.5340348482132,-2.19741084612906,-3.44268536567688
-1.64246946573257,-1.48152369260788,7.67328283935785,5.45086407661438,-2.18153395503759,-3.4382780790329
-1.63139635324478,-1.46015965938568,7.61158365616575,5.37172773480415,-2.17679446330294,-3.38923022150993
-1.63264459371567,-1.45326459407806,7.5991855324246,5.37366604804993,-2.19668202986941,-3.34592151641846
-1.62013226747513,-1.43960881233215,7.54019419418182,5.29522824287415,-2.18059941066895,-3.34242463111877
-1.60871601104736,-1.41965007781982,7.47491454519331,5.22050803899765,-2.17738152109087,-3.2973924279213
-1.61029839515686,-1.41311186552048,7.46289789117873,5.22239950299263,-2.19889247976243,-3.25627169013023
-1.59733468294144,-1.4001544713974,7.40127651952207,5.14758768677712,-2.18273157812655,-3.25333914160728
-1.58590680360794,-1.38127183914185,7.33422876521945,5.0761903822422,-2.18121205642819,-3.21144065260887
-1.58780169487,-1.37516230344772,7.32264002785087,5.0783323943615,-2.2041701413691,-3.17264142632484
-1.57448172569275,-1.36298561096191,7.25870374403894,5.00744393467903,-2.18818661011755,-3.17046973109245
-1.56305551528931,-1.34512466192245,7.19021747261286,4.93913304805756,-2.18811561912298,-3.13161492347717
-1.56520354747772,-1.33953875303268,7.17898830026388,4.94161552190781,-2.21223298460245,-3.0956169962883
-1.55181419849396,-1.32787179946899,7.11435271054506,4.87349021434784,-2.19653248041868,-3.09374058246613
-1.54081749916077,-1.31120562553406,7.0466176904738,4.8084622323513,-2.1982873044908,-3.05877152085304
-1.54326939582825,-1.30615216493607,7.03578853979707,4.81122201681137,-2.22382783517242,-3.02569097280502
-1.52995133399963,-1.295057117939,6.97117631882429,4.74608808755875,-2.20853168517351,-3.02425462007523
-1.51918905973434,-1.27932733297348,6.90320278704166,4.6839040517807,-2.2119315713644,-2.99205994606018
-1.52187252044678,-1.27487248182297,6.89291806519032,4.68713527917862,-2.23831705749035,-2.96209961175919
-1.5085853934288,-1.26425862312317,6.82825346291065,4.62449645996094,-2.22325889766216,-2.96105527877808
-1.49810045957565,-1.2496457695961,6.76114688813686,4.56521642208099,-2.22745586931705,-2.93265819549561
-1.50094830989838,-1.2457018494606,6.7513213455677,4.56876593828201,-2.25436851382256,-2.9054451584816
-1.48772120475769,-1.23548454046249,6.68670923262835,4.50847285985947,-2.2396179959178,-2.9044343829155
-1.47751212120056,-1.22190970182419,6.62019973248243,4.45168596506119,-2.24487299472094,-2.87977224588394
-1.48054265975952,-1.21851408481598,6.61071430891752,4.45563611388207,-2.27254164963961,-2.85544839501381
-1.46756386756897,-1.20870399475098,6.54720070958138,4.39751663804054,-2.25818249583244,-2.85470733046532
-1.4576507806778,-1.19607692956924,6.48182529211044,4.34299233555794,-2.26407939195633,-2.83346924185753
-1.4606761932373,-1.19340234994888,6.47271938621998,4.34745186567307,-2.29133777320385,-2.81296223402023
-1.44789659976959,-1.18394321203232,6.41002894192934,4.29136621952057,-2.27735065668821,-2.81229305267334
-1.4382039308548,-1.17229151725769,6.34544218331575,4.23918834328651,-2.28378140181303,-2.79456076025963
-1.43959826231003,-1.1692002415657,6.33487247675657,4.2431038916111,-2.3027170971036,-2.77209755778313
-1.42699772119522,-1.16003978252411,6.27674002200365,4.19128641486168,-2.28524630516767,-2.76895228028297
-1.41711312532425,-1.14931160211563,6.21323578059673,4.1414307653904,-2.28944297134876,-2.75443884730339
-1.41958129405975,-1.14808338880539,6.2123491615057,4.15067082643509,-2.30513860285282,-2.73782950639725
-1.40714675188065,-1.1391863822937,6.16024858504534,4.10087144374847,-2.28263192623854,-2.73424685001373
-1.39707416296005,-1.12927323579788,6.09724386781454,4.05259111523628,-2.28520110994577,-2.72304829955101
-1.39901691675186,-1.12866461277008,6.09893903881311,4.06184136867523,-2.29516246169806,-2.71014630794525
-1.38683843612671,-1.12004142999649,6.05022086203098,4.0134134888649,-2.27080975472927,-2.70683509111404
-1.37699317932129,-1.11120241880417,5.98846438527107,3.96736037731171,-2.27349469065666,-2.69985413551331
-1.37869709730148,-1.11089873313904,5.99058674275875,3.97649893164635,-2.28159584105015,-2.68889346718788
-1.36670887470245,-1.10247159004211,5.94214642047882,3.92939692735672,-2.2581068277359,-2.68543261289597
-1.35606670379639,-1.09403574466705,5.88032107055187,3.88449087738991,-2.25607915222645,-2.67972359061241
-1.35732001066208,-1.09419864416122,5.88044683635235,3.89444893598557,-2.26347322762012,-2.67074292898178
-1.34560024738312,-1.08605808019638,5.83146718144417,3.85081362724304,-2.24213430285454,-2.66553485393524
-1.3348942399025,-1.07776975631714,5.77006502449513,3.80663427710533,-2.23930041491985,-2.6599842607975
-1.3356174826622,-1.07724231481552,5.76724025607109,3.81889101862907,-2.24646463990211,-2.64456287026405
-1.32402771711349,-1.06924596428871,5.71487703919411,3.78018891811371,-2.22928926348686,-2.63528686761856
-1.31342068314552,-1.05999827384949,5.65459552407265,3.73607060313225,-2.22592857480049,-2.62391903996468
-1.31459304690361,-1.05780106782913,5.64853084087372,3.7503744661808,-2.23902744054794,-2.59643194079399
