Delta_X,Delta_Y,U1
21.884435534477234,21.154598712921143,"[[21.88443553]
 [21.15459871]]"
3.22678279876709,1.7293794751167297,"[[3.2267828 ]
 [1.72937948]]"
3.22633159160614,1.7301332354545593,"[[3.22633159]
 [1.73013324]]"
3.2259644269943237,1.7293298244476318,"[[3.22596443]
 [1.72932982]]"
3.2252252101898193,1.7304025888442993,"[[3.22522521]
 [1.73040259]]"
3.2286665439605713,1.72898268699646,"[[3.22866654]
 [1.72898269]]"
3.232484459877014,1.733212947845459,"[[3.23248446]
 [1.73321295]]"
3.2375261783599854,1.726139485836029,"[[3.23752618]
 [1.72613949]]"
3.245080828666687,1.739863932132721,"[[3.24508083]
 [1.73986393]]"
3.2475258111953735,1.7284687161445618,"[[3.24752581]
 [1.72846872]]"
3.248348593711853,1.7451969981193542,"[[3.24834859]
 [1.745197  ]]"
3.2482513189315796,1.7332579493522644,"[[3.24825132]
 [1.73325795]]"
3.242245316505432,1.7489845156669617,"[[3.24224532]
 [1.74898452]]"
3.2394059896469116,1.7382681965827942,"[[3.23940599]
 [1.7382682 ]]"
3.228365898132324,1.7510411143302917,"[[3.2283659 ]
 [1.75104111]]"
3.223434567451477,1.7413395643234253,"[[3.22343457]
 [1.74133956]]"
3.209277033805847,1.748751163482666,"[[3.20927703]
 [1.74875116]]"
3.202954053878784,1.7419215440750122,"[[3.20295405]
 [1.74192154]]"
3.187564969062805,1.7437270879745483,"[[3.18756497]
 [1.74372709]]"
3.180065631866455,1.7382131218910217,"[[3.18006563]
 [1.73821312]]"
3.166854739189148,1.7358772158622742,"[[3.16685474]
 [1.73587722]]"
3.160064458847046,1.7335829734802246,"[[3.16006446]
 [1.73358297]]"
3.151636838912964,1.7287124395370483,"[[3.15163684]
 [1.72871244]]"
3.14400577545166,1.7279213666915894,"[[3.14400578]
 [1.72792137]]"
3.141513466835022,1.7226552963256836,"[[3.14151347]
 [1.7226553 ]]"
3.135040521621704,1.7247734069824219,"[[3.13504052]
 [1.72477341]]"
3.1384384632110596,1.7204082012176514,"[[3.13843846]
 [1.7204082 ]]"
3.1324652433395386,1.7257673740386963,"[[3.13246524]
 [1.72576737]]"
3.1417202949523926,1.7216880321502686,"[[3.14172029]
 [1.72168803]]"
3.136229991912842,1.7292917966842651,"[[3.13622999]
 [1.7292918 ]]"
3.1494967937469482,1.7236794233322144,"[[3.14949679]
 [1.72367942]]"
3.143228054046631,1.7324635982513428,"[[3.14322805]
 [1.7324636 ]]"
3.1572325229644775,1.7242915630340576,"[[3.15723252]
 [1.72429156]]"
3.149652361869812,1.7335140109062195,"[[3.14965236]
 [1.73351401]]"
3.162031054496765,1.722463309764862,"[[3.16203105]
 [1.72246331]]"
3.15275502204895,1.7308257818222046,"[[3.15275502]
 [1.73082578]]"
3.1614872217178345,1.7165679931640625,"[[3.16148722]
 [1.71656799]]"
3.1502273082733154,1.723077654838562,"[[3.15022731]
 [1.72307765]]"
3.1531859636306763,1.706595540046692,"[[3.15318596]
 [1.70659554]]"
3.1407976150512695,1.7105351686477661,"[[3.14079762]
 [1.71053517]]"
3.137808680534363,1.6945621967315674,"[[3.13780868]
 [1.6945622 ]]"
3.1254228353500366,1.694836974143982,"[[3.12542284]
 [1.69483697]]"
3.117512822151184,1.682626485824585,"[[3.11751282]
 [1.68262649]]"
3.1070183515548706,1.6796320080757141,"[[3.10701835]
 [1.67963201]]"
3.097404956817627,1.6729008555412292,"[[3.09740496]
 [1.67290086]]"
3.0897637605667114,1.6674923300743103,"[[3.08976376]
 [1.66749233]]"
3.0815080404281616,1.6656455397605896,"[[3.08150804]
 [1.66564554]]"
3.0779964923858643,1.6589504480361938,"[[3.07799649]
 [1.65895045]]"
3.0733416080474854,1.662001609802246,"[[3.07334161]
 [1.66200161]]"
3.073868751525879,1.6554864048957825,"[[3.07386875]
 [1.6554864 ]]"
3.072500228881836,1.6632410883903503,"[[3.07250023]
 [1.66324109]]"
3.0767908096313477,1.656566858291626,"[[3.07679081]
 [1.65656686]]"
3.0785170793533325,1.6681993007659912,"[[3.07851708]
 [1.6681993 ]]"
3.086059808731079,1.6612625122070312,"[[3.08605981]
 [1.66126251]]"
3.087933659553528,1.6753226518630981,"[[3.08793366]
 [1.67532265]]"
3.096948027610779,1.6669977307319641,"[[3.09694803]
 [1.66699773]]"
3.0966289043426514,1.6826422810554504,"[[3.0966289 ]
 [1.68264228]]"
3.106109857559204,1.67222660779953,"[[3.10610986]
 [1.67222661]]"
3.1013044118881226,1.6877452731132507,"[[3.10130441]
 [1.68774527]]"
